=== v0.10.0 Phase 8c FUSION=y, 5 min load-vs-rest demonstration ===
Rig: NUCLEO-L476RG + Adafruit INA219 + user-toggled load
Protocol: starts CONNECTED. Toggle every 30s for 5 min (10 flips).
Expected: 'I' jumps between ~2.80 mA (load) and ~0.20 mA (rest)
Expected: alpha flips between ALPHA_LOAD=5/1000 and ALPHA_REST=50/1000

    t ms    V mV     T C       SOC     flags      I mA      Q mAh
---------------------------------------------------------------------------
  734856    3316   25.54    99.74%  00000000      2.80     219.42
  736858    3316   25.21    99.73%  00000000      2.80     219.42
  738860    3316   24.88    99.74%  00000000      0.10     219.42
  740863    3316   25.54    99.74%  00000000      0.10     219.42
  742865    3317   24.88    99.74%  00000000      0.10     219.42
  744867    3317   25.54    99.74%  00000000      0.10     219.42
  746869    3317   25.21    99.74%  00000000      0.10     219.42
  748872    3317   25.21    99.74%  00000000      0.10     219.42
  750874    3316   25.21    99.74%  00000000      0.10     219.42
  752876    3316   25.21    99.74%  00000000      0.10     219.42
  754879    3316   24.88    99.74%  00000000      0.10     219.42
  756881    3316   25.54    99.74%  00000000      0.10     219.42
  758883    3317   25.21    99.74%  00000000      0.10     219.42
  760886    3317   25.21    99.74%  00000000      0.10     219.42
  762888    3317   25.54    99.74%  00000000      0.10     219.42
  764890    3317   25.21    99.74%  00000000      0.10     219.42
  766892    3317   24.88    99.74%  00000000      0.10     219.42
  768895    3317   25.54    99.73%  00000000      2.80     219.42
  770897    3317   25.21    99.73%  00000000      2.80     219.42
  772899    3317   25.54    99.73%  00000000      2.80     219.42
  774902    3317   25.21    99.73%  00000000      2.80     219.42
  776904    3316   25.21    99.73%  00000000      2.80     219.42
  778906    3316   25.21    99.73%  00000000      2.80     219.41
  780909    3316   25.54    99.73%  00000000      2.80     219.41
  782911    3316   25.21    99.73%  00000000      2.80     219.41
  784913    3316   25.54    99.73%  00000000      2.80     219.41
  786915    3316   25.21    99.73%  00000000      2.80     219.41
  788918    3317   25.21    99.73%  00000000      2.80     219.41
  790920    3317   25.21    99.73%  00000000      2.80     219.41
  792922    3317   25.21    99.73%  00000000      2.80     219.40
  794925    3317   25.54    99.72%  00000000      2.80     219.40
  796927    3317   25.21    99.72%  00000000      2.80     219.40
  798929    3317   25.21    99.73%  00000000      0.10     219.40
  800932    3317   25.54    99.73%  00000000      0.10     219.40
  802934    3317   25.87    99.73%  00000000      0.10     219.40
  804936    3317   25.54    99.73%  00000000      0.10     219.40
  806938    3317   24.88    99.73%  00000000      0.10     219.40
  808941    3317   25.21    99.73%  00000000      0.10     219.40
  810943    3317   25.54    99.73%  00000000      0.10     219.40
  812945    3317   24.88    99.73%  00000000      0.10     219.40
  814948    3317   25.21    99.73%  00000000      0.10     219.40
  816950    3317   25.54    99.73%  00000000      0.10     219.40
  818952    3317   25.54    99.73%  00000000      0.10     219.40
  820955    3317   25.21    99.73%  00000000      0.10     219.40
  822957    3317   25.54    99.73%  00000000      0.10     219.40
  824959    3317   25.54    99.73%  00000000      0.10     219.40
  826961    3317   25.21    99.73%  00000000      0.10     219.40
  828964    3317   25.54    99.73%  00000000      0.10     219.40
  830966    3317   25.21    99.72%  00000000      2.80     219.40
  832968    3317   25.54    99.72%  00000000      2.80     219.40
  834971    3317   25.54    99.72%  00000000      2.80     219.40
  836973    3317   25.21    99.72%  00000000      2.80     219.40
  838975    3317   25.54    99.72%  00000000      2.80     219.39
  840978    3317   25.21    99.72%  00000000      2.80     219.39
  842980    3317   25.87    99.72%  00000000      2.80     219.39
  844982    3316   25.54    99.72%  00000000      2.80     219.39
  846984    3316   25.54    99.72%  00000000      2.80     219.39
  848987    3316   25.21    99.72%  00000000      2.80     219.39
  850989    3316   25.21    99.72%  00000000      2.80     219.38
  852991    3317   25.87    99.71%  00000000      2.80     219.38
  854994    3317   25.54    99.71%  00000000      2.80     219.38
  856996    3317   25.21    99.71%  00000000      2.80     219.38
  858998    3317   25.54    99.72%  00000000      0.10     219.38
  861001    3317   25.21    99.72%  00000000      0.10     219.38
  863003    3317   25.54    99.72%  00000000      0.10     219.38
  865005    3317   25.54    99.72%  00000000      0.10     219.38
  867007    3317   25.54    99.72%  00000000      0.10     219.38
  869010    3316   25.54    99.72%  00000000      0.10     219.38
  871012    3316   25.21    99.72%  00000000      0.10     219.38
  873014    3317   25.21    99.72%  00000000      0.00     219.38
  875017    3316   25.21    99.72%  00000000      0.10     219.38
  877019    3317   25.21    99.72%  00000000      0.10     219.38
  879021    3317   25.54    99.72%  00000000      0.10     219.38
  881024    3317   25.54    99.72%  00000000      0.10     219.38
  883026    3317   25.54    99.72%  00000000      0.10     219.38
  885028    3317   25.87    99.72%  00000000      0.10     219.38
  887030    3317   25.54    99.72%  00000000      0.10     219.38
  889033    3317   25.54    99.71%  00000000      2.80     219.38
  891035    3317   25.54    99.71%  00000000      2.80     219.38
  893037    3317   25.21    99.71%  00000000      2.80     219.38
  895040    3317   25.54    99.71%  00000000      2.80     219.37
  897042    3317   25.54    99.71%  00000000      2.80     219.37
  899044    3317   25.21    99.71%  00000000      2.80     219.37
  901047    3317   25.54    99.71%  00000000      2.80     219.37
  903049    3317   25.54    99.71%  00000000      2.80     219.37
  905051    3317   25.21    99.71%  00000000      2.80     219.37
  907053    3317   25.21    99.71%  00000000      2.80     219.36
  909056    3317   25.54    99.70%  00000000      2.80     219.36
  911058    3317   25.54    99.70%  00000000      2.80     219.36
  913060    3317   25.87    99.70%  00000000      2.80     219.36
  915063    3317   25.54    99.70%  00000000      2.80     219.36
  917065    3317   25.54    99.70%  00000000      2.80     219.36
  919067    3317   25.54    99.72%  00000000      0.10     219.36
  921070    3317   25.54    99.72%  00000000      0.10     219.36
  923072    3317   25.87    99.72%  00000000      0.10     219.36
  925074    3317   25.54    99.72%  00000000      0.10     219.36
  927076    3317   25.54    99.72%  00000000      0.10     219.36
  929079    3316   25.54    99.72%  00000000      0.10     219.36
  931081    3316   25.54    99.72%  00000000      0.10     219.36
  933083    3317   25.87    99.72%  00000000      0.10     219.36
  935086    3317   25.54    99.72%  00000000      0.10     219.36
  937088    3317   25.21    99.72%  00000000      0.10     219.36
  939090    3317   25.87    99.72%  00000000      0.10     219.36
  941093    3317   25.54    99.72%  00000000      0.10     219.36
  943095    3316   25.21    99.72%  00000000      0.10     219.36
  945097    3317   25.54    99.72%  00000000      0.10     219.36
  947099    3317   25.54    99.72%  00000000      0.10     219.36
  949102    3317   25.54    99.72%  00000000      0.10     219.36
  951104    3317   25.54    99.72%  00000000      0.10     219.36
  953106    3317   25.54    99.72%  00000000      0.10     219.36
  955109    3317   25.54    99.72%  00000000      0.10     219.36
  957111    3317   25.87    99.72%  00000000      0.10     219.36
  959113    3317   25.87    99.70%  00000000      2.80     219.36
  961116    3317   25.87    99.70%  00000000      2.80     219.35
  963118    3317   25.54    99.70%  00000000      2.80     219.35
  965120    3316   25.87    99.70%  00000000      2.80     219.35
  967122    3316   26.21    99.70%  00000000      2.80     219.35
  969125    3316   25.87    99.70%  00000000      2.80     219.35
  971127    3316   25.54    99.70%  00000000      2.80     219.35
  973129    3316   25.87    99.70%  00000000      2.80     219.35
  975132    3317   25.87    99.70%  00000000      2.80     219.34
